run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,5.2396345208919e-32,1.5173120495744517e-30
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,0-10 Hz,0.0,10.0,1.4124027506170077e-07,8.375114672831774e-06
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,10-100 Hz,10.0,100.0,1.0161758892138676e-05,0.0006025611034965125
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,100-1000 Hz,100.0,1000.0,0.000481201473969968,0.02853377001335915
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.00910607148652796,0.5399620815334669
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.007266703641470638,0.43089321558043114
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,0-10 Hz,0.0,10.0,2.0538996959364837e-05,0.0016559425156234791
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.002939919759347406,0.23702901030934614
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.009442747735213076,0.7613150471750306
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,9.095834991928206e-24,7.333454456431964e-22
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,1.0932091584420763e-32,8.81392371552881e-31
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,0-10 Hz,0.0,10.0,3.9594691510555203e-07,2.87382788958874e-05
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,10-100 Hz,10.0,100.0,1.1179477637279012e-06,8.114192433215792e-05
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,100-1000 Hz,100.0,1000.0,0.00010321529449117296,0.007491483848580403
